rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   8.1778E-09  1.4103E-09   
1.00E+01  0.009  0.453   9.4692E-307 2.4617E-308  0.0000E+00  0.0000E+00   1.5858E-58  1.6163E-58   8.1809E-09  1.4110E-09   
1.00E+01  0.017  0.377   5.5713E-159 2.9116E-160  4.9824E-186 3.4924E-187  1.4467E-31  1.4871E-31   8.1811E-09  1.4111E-09   
1.00E+01  0.034  0.205   7.1873E-85  7.5883E-86   6.3763E-98  5.1988E-99   1.5967E-17  1.6727E-17   8.1812E-09  1.4111E-09   
1.00E+01  0.060  0.008   2.6097E-52  4.8931E-53   6.5258E-60  9.1527E-61   1.1081E-11  1.2017E-11   8.1808E-09  1.4111E-09   
1.00E+01  0.086  0.000   3.8032E-38  1.0335E-38   1.8906E-44  4.0680E-45   3.7785E-10  4.2751E-10   8.1713E-09  1.4095E-09   
1.00E+01  0.129  0.000   6.6244E-27  2.7657E-27   3.7056E-32  1.2171E-32   7.8820E-09  9.7088E-09   8.1917E-09  1.4968E-09   
1.00E+01  0.172  0.000   3.7311E-21  2.1265E-21   7.2553E-26  3.0639E-26   4.8012E-08  6.5166E-08   9.8048E-09  3.3193E-09   
1.00E+01  0.259  0.000   3.2640E-15  2.9152E-15   2.6094E-19  1.9752E-19   4.6540E-07  7.7696E-07   4.9265E-08  4.8613E-08   
1.00E+01  0.431  0.000   3.6959E-10  5.9148E-10   2.0002E-13  2.9093E-13   6.7224E-06  1.6484E-05   1.1521E-06  2.0383E-06   
1.00E+01  0.862  0.000   5.9926E-06  2.1565E-05   1.1978E-08  2.2481E-08   4.0105E-04  1.8358E-03   1.7398E-04  5.7907E-04   
1.00E+01  2.585  0.000   6.4922E-02  7.2796E-01   3.7710E-06  7.5268E-06   3.2524E-01  4.3852E+00   8.4787E-03  3.2326E-02   
1.00E+01  0.001  0.509   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   8.1778E-09  1.4103E-09   
1.00E+01  0.009  0.453   9.4692E-307 2.4617E-308  0.0000E+00  0.0000E+00   1.5858E-58  1.6163E-58   8.1809E-09  1.4110E-09   
1.00E+01  0.017  0.377   5.5713E-159 2.9116E-160  4.9824E-186 3.4924E-187  1.4467E-31  1.4871E-31   8.1811E-09  1.4111E-09   
1.00E+01  0.034  0.205   7.1873E-85  7.5883E-86   6.3763E-98  5.1988E-99   1.5967E-17  1.6727E-17   8.1812E-09  1.4111E-09   
1.00E+01  0.060  0.008   2.6097E-52  4.8931E-53   6.5258E-60  9.1527E-61   1.1081E-11  1.2017E-11   8.1808E-09  1.4111E-09   
1.00E+01  0.086  0.000   3.8032E-38  1.0335E-38   1.8906E-44  4.0680E-45   3.7785E-10  4.2751E-10   8.1713E-09  1.4095E-09   
