rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   3.8327E-04  7.3337E-04   
1.00E+01  0.009  0.453   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   5.8437E-57  2.2539E-56   3.8327E-04  7.3337E-04   
1.00E+01  0.017  0.377   7.1559E-196 3.7218E-197  3.9516E-224 2.8320E-225  4.4701E-30  1.7304E-29   3.8353E-04  7.3398E-04   
1.00E+01  0.034  0.205   1.5399E-103 1.6118E-104  8.4789E-118 6.5516E-119  4.1766E-16  1.6345E-15   3.9030E-04  7.4950E-04   
1.00E+01  0.060  0.008   3.3494E-63  6.1918E-64   5.5481E-72  8.4992E-73   2.4885E-10  9.9550E-10   4.1026E-04  7.9531E-04   
1.00E+01  0.086  0.000   6.0001E-46  1.5991E-46   2.0660E-53  4.1719E-54   7.4992E-09  3.0622E-08   4.2774E-04  8.3542E-04   
1.00E+01  0.129  0.000   2.5280E-32  1.0261E-32   6.8855E-39  1.5340E-39   1.2994E-07  5.4639E-07   4.4701E-04  8.7958E-04   
1.00E+01  0.172  0.000   2.1464E-25  1.1795E-25   1.2729E-31  2.9029E-32   6.6691E-07  2.8795E-06   4.5869E-04  9.0623E-04   
1.00E+01  0.259  0.000   2.7008E-18  2.2933E-18   2.2686E-24  5.2349E-25   4.7639E-06  2.1628E-05   4.7244E-04  9.3783E-04   
1.00E+01  0.431  0.000   2.6845E-12  4.0001E-12   1.2948E-18  3.0011E-19   4.4184E-05  2.1866E-04   5.2060E-04  1.0969E-03   
1.00E+01  0.862  0.000   4.4227E-07  1.4129E-06   1.8963E-14  4.4173E-15   1.5295E-03  9.1519E-03   2.6990E-03  9.7443E-03   
1.00E+01  2.585  0.000   2.9209E-02  3.0664E-01   2.1400E-12  5.0200E-13   4.1465E-01  6.0794E+00   2.2665E-02  9.8929E-02   
1.00E+01  0.001  0.509   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   3.8327E-04  7.3337E-04   
1.00E+01  0.009  0.453   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   5.8437E-57  2.2539E-56   3.8327E-04  7.3337E-04   
1.00E+01  0.017  0.377   7.1559E-196 3.7218E-197  3.9516E-224 2.8320E-225  4.4701E-30  1.7304E-29   3.8353E-04  7.3398E-04   
1.00E+01  0.034  0.205   1.5399E-103 1.6118E-104  8.4789E-118 6.5516E-119  4.1766E-16  1.6345E-15   3.9030E-04  7.4950E-04   
1.00E+01  0.060  0.008   3.3494E-63  6.1918E-64   5.5481E-72  8.4992E-73   2.4885E-10  9.9550E-10   4.1026E-04  7.9531E-04   
1.00E+01  0.086  0.000   6.0001E-46  1.5991E-46   2.0660E-53  4.1719E-54   7.4992E-09  3.0622E-08   4.2774E-04  8.3542E-04   
