rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   2.9854E-135 7.7404E-138  0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   1.7644E-08  1.7906E-08   
1.00E+01  0.009  0.453   4.2031E-30  1.1170E-31   6.1708E-108 2.6987E-108  9.3048E-59  5.6892E-59   1.7644E-08  1.7906E-08   
1.00E+01  0.017  0.377   7.1592E-24  3.9001E-25   5.1129E-58  2.2361E-58   8.5993E-32  5.4122E-32   1.7616E-08  1.7878E-08   
1.00E+01  0.034  0.205   1.6341E-20  1.8573E-21   4.4375E-33  1.9407E-33   9.2857E-18  6.1970E-18   1.6783E-08  1.7033E-08   
1.00E+01  0.060  0.008   3.5528E-18  1.3617E-18   1.8905E-22  8.2681E-23   5.7196E-12  4.1889E-12   1.4369E-08  1.4583E-08   
1.00E+01  0.086  0.000   4.0278E-15  4.0117E-15   3.1250E-18  1.3709E-18   1.7472E-10  1.4106E-10   1.2830E-08  1.3234E-08   
1.00E+01  0.129  0.000   3.9069E-12  4.5794E-12   6.1150E-15  2.9208E-15   3.2428E-09  3.1113E-09   3.4022E-08  4.8271E-08   
1.00E+01  0.172  0.000   1.5980E-10  2.1156E-10   3.5267E-13  2.1796E-13   1.8710E-08  2.1917E-08   1.9355E-07  3.0441E-07   
1.00E+01  0.259  0.000   9.8728E-09  1.6503E-08   5.4340E-11  6.2032E-11   1.8365E-07  3.2797E-07   1.4228E-06  2.2801E-06   
1.00E+01  0.431  0.000   5.9303E-07  1.4636E-06   2.2914E-08  4.2682E-08   3.0551E-06  9.1558E-06   7.4519E-06  1.3059E-05   
1.00E+01  0.862  0.000   8.2236E-05  4.0307E-04   5.9490E-06  1.3682E-05   2.0395E-04  9.6305E-04   1.0481E-04  3.1508E-04   
1.00E+01  2.585  0.000   1.4289E-01  1.7667E+00   1.7008E-04  4.7819E-04   2.1856E-01  2.6731E+00   1.2782E-03  4.3698E-03   
1.00E+01  0.001  0.509   2.9854E-135 7.7404E-138  0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   1.7644E-08  1.7906E-08   
1.00E+01  0.009  0.453   4.2031E-30  1.1170E-31   6.1708E-108 2.6987E-108  9.3048E-59  5.6892E-59   1.7644E-08  1.7906E-08   
1.00E+01  0.017  0.377   7.1592E-24  3.9001E-25   5.1129E-58  2.2361E-58   8.5993E-32  5.4122E-32   1.7616E-08  1.7878E-08   
1.00E+01  0.034  0.205   1.6341E-20  1.8573E-21   4.4375E-33  1.9407E-33   9.2857E-18  6.1970E-18   1.6783E-08  1.7033E-08   
1.00E+01  0.060  0.008   3.5528E-18  1.3617E-18   1.8905E-22  8.2681E-23   5.7196E-12  4.1889E-12   1.4369E-08  1.4583E-08   
1.00E+01  0.086  0.000   4.0278E-15  4.0117E-15   3.1250E-18  1.3709E-18   1.7472E-10  1.4106E-10   1.2830E-08  1.3234E-08   
1.00E+01  0.129  0.000   3.9069E-12  4.5794E-12   6.1150E-15  2.9208E-15   3.2428E-09  3.1113E-09   3.4022E-08  4.8271E-08   
1.00E+01  0.172  0.000   1.5980E-10  2.1156E-10   3.5267E-13  2.1796E-13   1.8710E-08  2.1917E-08   1.9355E-07  3.0441E-07   
1.00E+01  0.259  0.000   9.8728E-09  1.6503E-08   5.4340E-11  6.2032E-11   1.8365E-07  3.2797E-07   1.4228E-06  2.2801E-06   
1.00E+01  0.431  0.000   5.9303E-07  1.4636E-06   2.2914E-08  4.2682E-08   3.0551E-06  9.1558E-06   7.4519E-06  1.3059E-05   
1.00E+01  0.862  0.000   8.2236E-05  4.0307E-04   5.9490E-06  1.3682E-05   2.0395E-04  9.6305E-04   1.0481E-04  3.1508E-04   
1.00E+01  2.585  0.000   1.4289E-01  1.7667E+00   1.7008E-04  4.7819E-04   2.1856E-01  2.6731E+00   1.2782E-03  4.3698E-03   
1.00E+02  0.001  0.511   4.2404E-134 1.0994E-136  0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   1.7641E-08  1.7901E-08   
1.00E+02  0.009  0.473   4.2215E-29  1.1219E-30   6.1708E-108 2.6987E-108  9.2642E-60  5.6643E-60   1.7643E-08  1.7906E-08   
1.00E+02  0.017  0.416   7.1681E-23  3.9049E-24   5.1129E-58  2.2361E-58   8.5887E-33  5.4055E-33   1.7616E-08  1.7878E-08   
1.00E+02  0.034  0.284   1.6348E-19  1.8580E-20   4.4375E-33  1.9407E-33   9.2819E-19  6.1945E-19   1.6783E-08  1.7033E-08   
1.00E+02  0.060  0.065   9.1986E-18  3.5254E-18   1.8905E-22  8.2681E-23   2.2091E-12  1.6179E-12   1.4369E-08  1.4583E-08   
1.00E+02  0.086  0.005   4.2338E-15  4.2169E-15   3.1251E-18  1.3709E-18   1.6622E-10  1.3419E-10   1.2830E-08  1.3234E-08   
1.00E+02  0.129  0.000   3.9199E-12  4.5947E-12   6.1150E-15  2.9209E-15   3.2321E-09  3.1009E-09   3.4022E-08  4.8271E-08   
1.00E+02  0.172  0.000   1.5991E-10  2.1172E-10   3.5267E-13  2.1796E-13   1.8696E-08  2.1901E-08   1.9355E-07  3.0441E-07   
1.00E+02  0.259  0.000   9.8739E-09  1.6505E-08   5.4340E-11  6.2032E-11   1.8363E-07  3.2793E-07   1.4228E-06  2.2801E-06   
1.00E+02  0.431  0.000   5.9305E-07  1.4636E-06   2.2914E-08  4.2682E-08   3.0551E-06  9.1556E-06   7.4519E-06  1.3059E-05   
1.00E+02  0.862  0.000   8.2236E-05  4.0307E-04   5.9490E-06  1.3682E-05   2.0395E-04  9.6305E-04   1.0481E-04  3.1508E-04   
1.00E+02  2.585  0.000   1.4289E-01  1.7667E+00   1.7008E-04  4.7819E-04   2.1856E-01  2.6731E+00   1.2782E-03  4.3698E-03   
1.00E+01  0.001  0.509   2.9854E-135 7.7404E-138  0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   1.7644E-08  1.7906E-08   
1.00E+01  0.009  0.453   4.2031E-30  1.1170E-31   6.1708E-108 2.6987E-108  9.3048E-59  5.6892E-59   1.7644E-08  1.7906E-08   
1.00E+01  0.017  0.377   7.1592E-24  3.9001E-25   5.1129E-58  2.2361E-58   8.5993E-32  5.4122E-32   1.7616E-08  1.7878E-08   
1.00E+01  0.034  0.205   1.6341E-20  1.8573E-21   4.4375E-33  1.9407E-33   9.2857E-18  6.1970E-18   1.6783E-08  1.7033E-08   
1.00E+01  0.060  0.008   3.5528E-18  1.3617E-18   1.8905E-22  8.2681E-23   5.7196E-12  4.1889E-12   1.4369E-08  1.4583E-08   
1.00E+01  0.086  0.000   4.0278E-15  4.0117E-15   3.1250E-18  1.3709E-18   1.7472E-10  1.4106E-10   1.2830E-08  1.3234E-08   
1.00E+01  0.129  0.000   3.9069E-12  4.5794E-12   6.1150E-15  2.9208E-15   3.2428E-09  3.1113E-09   3.4022E-08  4.8271E-08   
1.00E+01  0.172  0.000   1.5980E-10  2.1156E-10   3.5267E-13  2.1796E-13   1.8710E-08  2.1917E-08   1.9355E-07  3.0441E-07   
1.00E+01  0.259  0.000   9.8728E-09  1.6503E-08   5.4340E-11  6.2032E-11   1.8365E-07  3.2797E-07   1.4228E-06  2.2801E-06   
1.00E+01  0.431  0.000   5.9303E-07  1.4636E-06   2.2914E-08  4.2682E-08   3.0551E-06  9.1558E-06   7.4519E-06  1.3059E-05   
1.00E+01  0.862  0.000   8.2236E-05  4.0307E-04   5.9490E-06  1.3682E-05   2.0395E-04  9.6305E-04   1.0481E-04  3.1508E-04   
1.00E+01  2.585  0.000   1.4289E-01  1.7667E+00   1.7008E-04  4.7819E-04   2.1856E-01  2.6731E+00   1.2782E-03  4.3698E-03   
1.00E+02  0.001  0.511   4.2404E-134 1.0994E-136  0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   1.7641E-08  1.7901E-08   
1.00E+02  0.009  0.473   4.2215E-29  1.1219E-30   6.1708E-108 2.6987E-108  9.2642E-60  5.6643E-60   1.7643E-08  1.7906E-08   
