rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   5.8041E-08  3.3614E-07   1.1374E-02  3.0090E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   1.1054E-08  6.4106E-08   1.1374E-02  3.0090E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.8543E-09  4.5623E-08   1.1374E-02  3.0090E-02   9.7878E-304 5.0905E-305  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.9637E-09  3.4772E-08   1.1374E-02  3.0090E-02   1.2469E-152 1.3047E-153  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   2.1568E-08  1.2659E-07   1.1374E-02  3.0090E-02   5.8283E-88  1.0768E-88   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   4.0707E-07  2.4072E-06   1.1374E-02  3.0090E-02   7.2322E-63  1.9257E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.6151E-06  3.3681E-05   1.1373E-02  3.0087E-02   3.2667E-43  1.3235E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.5120E-05  1.5312E-04   1.1374E-02  3.0083E-02   2.8890E-33  1.5826E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.5099E-04  9.5408E-04   1.1391E-02  3.0106E-02   3.7819E-23  3.1911E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.1204E-03  7.6594E-03   1.1545E-02  3.0449E-02   8.7634E-15  1.2920E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.7214E-02  1.4279E-01   1.3058E-02  3.6495E-02   4.9197E-08  1.5746E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   2.4159E+00  3.9799E+01   6.5280E-02  3.4352E-01   1.9526E-02  2.0883E-01   0.0000E+00  0.0000E+00   
1.00E+01  0.001  0.509   5.8041E-08  3.3614E-07   1.1374E-02  3.0090E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   1.1054E-08  6.4106E-08   1.1374E-02  3.0090E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   7.8543E-09  4.5623E-08   1.1374E-02  3.0090E-02   9.7878E-304 5.0905E-305  0.0000E+00  0.0000E+00   
1.00E+01  0.034  0.205   5.9637E-09  3.4772E-08   1.1374E-02  3.0090E-02   1.2469E-152 1.3047E-153  0.0000E+00  0.0000E+00   
1.00E+01  0.060  0.008   2.1568E-08  1.2659E-07   1.1374E-02  3.0090E-02   5.8283E-88  1.0768E-88   0.0000E+00  0.0000E+00   
1.00E+01  0.086  0.000   4.0707E-07  2.4072E-06   1.1374E-02  3.0090E-02   7.2322E-63  1.9257E-63   0.0000E+00  0.0000E+00   
1.00E+01  0.129  0.000   5.6151E-06  3.3681E-05   1.1373E-02  3.0087E-02   3.2667E-43  1.3235E-43   0.0000E+00  0.0000E+00   
1.00E+01  0.172  0.000   2.5120E-05  1.5312E-04   1.1374E-02  3.0083E-02   2.8890E-33  1.5826E-33   0.0000E+00  0.0000E+00   
1.00E+01  0.259  0.000   1.5099E-04  9.5408E-04   1.1391E-02  3.0106E-02   3.7819E-23  3.1911E-23   0.0000E+00  0.0000E+00   
1.00E+01  0.431  0.000   1.1204E-03  7.6594E-03   1.1545E-02  3.0449E-02   8.7634E-15  1.2920E-14   0.0000E+00  0.0000E+00   
1.00E+01  0.862  0.000   1.7214E-02  1.4279E-01   1.3058E-02  3.6495E-02   4.9197E-08  1.5746E-07   0.0000E+00  0.0000E+00   
1.00E+01  2.585  0.000   2.4159E+00  3.9799E+01   6.5280E-02  3.4352E-01   1.9526E-02  2.0883E-01   0.0000E+00  0.0000E+00   
1.00E+02  0.001  0.511   5.9131E-07  3.4246E-06   1.1374E-02  3.0090E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   1.1043E-07  6.4039E-07   1.1374E-02  3.0090E-02   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   7.8504E-08  4.5600E-07   1.1374E-02  3.0090E-02   9.7757E-305 5.0842E-306  0.0000E+00  0.0000E+00   
1.00E+02  0.034  0.284   5.9628E-08  3.4767E-07   1.1374E-02  3.0090E-02   1.2463E-153 1.3042E-154  0.0000E+00  0.0000E+00   
1.00E+02  0.060  0.065   5.5836E-08  3.2771E-07   1.1374E-02  3.0090E-02   2.2510E-88  4.1589E-89   0.0000E+00  0.0000E+00   
1.00E+02  0.086  0.005   4.2789E-07  2.5303E-06   1.1374E-02  3.0090E-02   6.8800E-63  1.8319E-63   0.0000E+00  0.0000E+00   
1.00E+02  0.129  0.000   5.6338E-06  3.3793E-05   1.1373E-02  3.0087E-02   3.2558E-43  1.3191E-43   0.0000E+00  0.0000E+00   
1.00E+02  0.172  0.000   2.5138E-05  1.5323E-04   1.1374E-02  3.0083E-02   2.8869E-33  1.5814E-33   0.0000E+00  0.0000E+00   
1.00E+02  0.259  0.000   1.5101E-04  9.5419E-04   1.1391E-02  3.0106E-02   3.7814E-23  3.1907E-23   0.0000E+00  0.0000E+00   
1.00E+02  0.431  0.000   1.1204E-03  7.6595E-03   1.1545E-02  3.0449E-02   8.7632E-15  1.2920E-14   0.0000E+00  0.0000E+00   
