rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   2.1184E-09  8.5957E-09   1.5262E-04  2.6985E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   4.0968E-10  1.6642E-09   1.5262E-04  2.6985E-04   8.0591E-316 2.0511E-317  0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   2.9610E-10  1.2045E-09   1.5262E-04  2.6985E-04   9.6971E-160 5.0543E-161  8.7373E-183 4.6994E-183  
1.00E+01  0.034  0.205   2.3090E-10  9.4213E-10   1.5262E-04  2.6985E-04   5.2425E-81  5.5083E-82   9.9750E-95  5.3651E-95   
1.00E+01  0.060  0.008   8.6098E-10  3.5315E-09   1.5263E-04  2.6988E-04   2.3654E-47  4.3998E-48   5.4682E-57  2.9411E-57   
1.00E+01  0.086  0.000   1.6697E-08  6.8909E-08   1.5309E-04  2.7090E-04   1.1568E-34  3.1087E-35   6.8118E-42  3.6644E-42   
1.00E+01  0.129  0.000   2.4549E-07  1.0300E-06   1.6120E-04  2.8873E-04   1.1777E-24  4.8342E-25   3.7584E-30  2.0400E-30   
1.00E+01  0.172  0.000   1.2315E-06  5.3235E-06   1.8847E-04  3.4848E-04   1.5523E-19  8.6462E-20   2.8718E-24  1.6375E-24   
1.00E+01  0.259  0.000   1.0128E-05  4.7399E-05   2.9413E-04  5.7896E-04   2.9343E-14  2.5336E-14   2.6712E-18  1.9184E-18   
1.00E+01  0.431  0.000   1.2037E-04  6.4474E-04   5.2891E-04  1.0981E-03   8.5471E-10  1.3014E-09   2.4771E-13  2.4277E-13   
1.00E+01  0.862  0.000   3.0771E-03  2.1613E-02   1.1455E-03  2.8606E-03   5.9080E-06  1.9710E-05   1.1796E-09  1.3410E-09   
1.00E+01  2.585  0.000   7.5459E-01  1.1310E+01   4.3139E-03  1.4696E-02   5.5833E-02  6.1812E-01   6.6010E-08  8.0190E-08   
1.00E+01  0.001  0.509   2.1184E-09  8.5957E-09   1.5262E-04  2.6985E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   4.0968E-10  1.6642E-09   1.5262E-04  2.6985E-04   8.0591E-316 2.0511E-317  0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   2.9610E-10  1.2045E-09   1.5262E-04  2.6985E-04   9.6971E-160 5.0543E-161  8.7373E-183 4.6994E-183  
1.00E+01  0.034  0.205   2.3090E-10  9.4213E-10   1.5262E-04  2.6985E-04   5.2425E-81  5.5083E-82   9.9750E-95  5.3651E-95   
1.00E+01  0.060  0.008   8.6098E-10  3.5315E-09   1.5263E-04  2.6988E-04   2.3654E-47  4.3998E-48   5.4682E-57  2.9411E-57   
1.00E+01  0.086  0.000   1.6697E-08  6.8909E-08   1.5309E-04  2.7090E-04   1.1568E-34  3.1087E-35   6.8118E-42  3.6644E-42   
1.00E+01  0.129  0.000   2.4549E-07  1.0300E-06   1.6120E-04  2.8873E-04   1.1777E-24  4.8342E-25   3.7584E-30  2.0400E-30   
1.00E+01  0.172  0.000   1.2315E-06  5.3235E-06   1.8847E-04  3.4848E-04   1.5523E-19  8.6462E-20   2.8718E-24  1.6375E-24   
1.00E+01  0.259  0.000   1.0128E-05  4.7399E-05   2.9413E-04  5.7896E-04   2.9343E-14  2.5336E-14   2.6712E-18  1.9184E-18   
1.00E+01  0.431  0.000   1.2037E-04  6.4474E-04   5.2891E-04  1.0981E-03   8.5471E-10  1.3014E-09   2.4771E-13  2.4277E-13   
1.00E+01  0.862  0.000   3.0771E-03  2.1613E-02   1.1455E-03  2.8606E-03   5.9080E-06  1.9710E-05   1.1796E-09  1.3410E-09   
1.00E+01  2.585  0.000   7.5459E-01  1.1310E+01   4.3139E-03  1.4696E-02   5.5833E-02  6.1812E-01   6.6010E-08  8.0190E-08   
1.00E+02  0.001  0.511   2.1584E-08  8.7582E-08   1.5262E-04  2.6985E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   4.0927E-09  1.6625E-08   1.5262E-04  2.6985E-04   7.5563E-317 1.9355E-318  0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   2.9596E-09  1.2039E-08   1.5262E-04  2.6985E-04   9.6851E-161 5.0481E-162  8.7367E-183 4.6989E-183  
1.00E+02  0.034  0.284   2.3087E-09  9.4201E-09   1.5262E-04  2.6985E-04   5.2403E-82  5.5060E-83   9.9745E-95  5.3647E-95   
1.00E+02  0.060  0.065   2.2289E-09  9.1424E-09   1.5263E-04  2.6988E-04   9.1357E-48  1.6993E-48   5.4680E-57  2.9410E-57   
1.00E+02  0.086  0.005   1.7551E-08  7.2433E-08   1.5309E-04  2.7090E-04   1.1005E-34  2.9573E-35   6.8116E-42  3.6643E-42   
1.00E+02  0.129  0.000   2.4630E-07  1.0334E-06   1.6120E-04  2.8873E-04   1.1738E-24  4.8181E-25   3.7583E-30  2.0400E-30   
1.00E+02  0.172  0.000   1.2324E-06  5.3274E-06   1.8847E-04  3.4848E-04   1.5512E-19  8.6399E-20   2.8718E-24  1.6375E-24   
1.00E+02  0.259  0.000   1.0129E-05  4.7404E-05   2.9413E-04  5.7896E-04   2.9340E-14  2.5333E-14   2.6712E-18  1.9184E-18   
1.00E+02  0.431  0.000   1.2037E-04  6.4475E-04   5.2891E-04  1.0981E-03   8.5470E-10  1.3014E-09   2.4771E-13  2.4277E-13   
1.00E+02  0.862  0.000   3.0771E-03  2.1613E-02   1.1455E-03  2.8606E-03   5.9080E-06  1.9710E-05   1.1796E-09  1.3410E-09   
1.00E+02  2.585  0.000   7.5459E-01  1.1310E+01   4.3139E-03  1.4696E-02   5.5833E-02  6.1812E-01   6.6010E-08  8.0190E-08   
1.00E+01  0.001  0.509   2.1184E-09  8.5957E-09   1.5262E-04  2.6985E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   4.0968E-10  1.6642E-09   1.5262E-04  2.6985E-04   8.0591E-316 2.0511E-317  0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   2.9610E-10  1.2045E-09   1.5262E-04  2.6985E-04   9.6971E-160 5.0543E-161  8.7373E-183 4.6994E-183  
1.00E+01  0.034  0.205   2.3090E-10  9.4213E-10   1.5262E-04  2.6985E-04   5.2425E-81  5.5083E-82   9.9750E-95  5.3651E-95   
1.00E+01  0.060  0.008   8.6098E-10  3.5315E-09   1.5263E-04  2.6988E-04   2.3654E-47  4.3998E-48   5.4682E-57  2.9411E-57   
1.00E+01  0.086  0.000   1.6697E-08  6.8909E-08   1.5309E-04  2.7090E-04   1.1568E-34  3.1087E-35   6.8118E-42  3.6644E-42   
1.00E+01  0.129  0.000   2.4549E-07  1.0300E-06   1.6120E-04  2.8873E-04   1.1777E-24  4.8342E-25   3.7584E-30  2.0400E-30   
1.00E+01  0.172  0.000   1.2315E-06  5.3235E-06   1.8847E-04  3.4848E-04   1.5523E-19  8.6462E-20   2.8718E-24  1.6375E-24   
