rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   1.6475E-09  6.6770E-09   1.1820E-04  2.0896E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   3.1863E-10  1.2927E-09   1.1820E-04  2.0896E-04   7.7214E-316 1.9755E-317  0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   2.3031E-10  9.3562E-10   1.1820E-04  2.0896E-04   9.0859E-160 4.7360E-161  8.7373E-183 4.6994E-183  
1.00E+01  0.034  0.205   1.7963E-10  7.3187E-10   1.1820E-04  2.0896E-04   4.8687E-81  5.1158E-82   9.9750E-95  5.3651E-95   
1.00E+01  0.060  0.008   6.7016E-10  2.7436E-09   1.1821E-04  2.0899E-04   2.1881E-47  4.0701E-48   5.4682E-57  2.9411E-57   
1.00E+01  0.086  0.000   1.3013E-08  5.3577E-08   1.1869E-04  2.1005E-04   1.0682E-34  2.8705E-35   6.8103E-42  3.6636E-42   
1.00E+01  0.129  0.000   1.9331E-07  8.0935E-07   1.2704E-04  2.2833E-04   1.0844E-24  4.4514E-25   3.7516E-30  2.0363E-30   
1.00E+01  0.172  0.000   9.9542E-07  4.3072E-06   1.5501E-04  2.8933E-04   1.4242E-19  7.9339E-20   2.8581E-24  1.6296E-24   
1.00E+01  0.259  0.000   8.7301E-06  4.1112E-05   2.6311E-04  5.2427E-04   2.6756E-14  2.3109E-14   2.6433E-18  1.8987E-18   
1.00E+01  0.431  0.000   1.1109E-04  5.9823E-04   5.0364E-04  1.0535E-03   7.7848E-10  1.1861E-09   2.4447E-13  2.3970E-13   
1.00E+01  0.862  0.000   2.9893E-03  2.0986E-02   1.1182E-03  2.7977E-03   5.5870E-06  1.8647E-05   1.1745E-09  1.3358E-09   
1.00E+01  2.585  0.000   7.5225E-01  1.1267E+01   4.2321E-03  1.4385E-02   5.5591E-02  6.1535E-01   6.6187E-08  8.0436E-08   
1.00E+01  0.001  0.509   1.6475E-09  6.6770E-09   1.1820E-04  2.0896E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+01  0.009  0.453   3.1863E-10  1.2927E-09   1.1820E-04  2.0896E-04   7.7214E-316 1.9755E-317  0.0000E+00  0.0000E+00   
1.00E+01  0.017  0.377   2.3031E-10  9.3562E-10   1.1820E-04  2.0896E-04   9.0859E-160 4.7360E-161  8.7373E-183 4.6994E-183  
1.00E+01  0.034  0.205   1.7963E-10  7.3187E-10   1.1820E-04  2.0896E-04   4.8687E-81  5.1158E-82   9.9750E-95  5.3651E-95   
1.00E+01  0.060  0.008   6.7016E-10  2.7436E-09   1.1821E-04  2.0899E-04   2.1881E-47  4.0701E-48   5.4682E-57  2.9411E-57   
1.00E+01  0.086  0.000   1.3013E-08  5.3577E-08   1.1869E-04  2.1005E-04   1.0682E-34  2.8705E-35   6.8103E-42  3.6636E-42   
1.00E+01  0.129  0.000   1.9331E-07  8.0935E-07   1.2704E-04  2.2833E-04   1.0844E-24  4.4514E-25   3.7516E-30  2.0363E-30   
1.00E+01  0.172  0.000   9.9542E-07  4.3072E-06   1.5501E-04  2.8933E-04   1.4242E-19  7.9339E-20   2.8581E-24  1.6296E-24   
1.00E+01  0.259  0.000   8.7301E-06  4.1112E-05   2.6311E-04  5.2427E-04   2.6756E-14  2.3109E-14   2.6433E-18  1.8987E-18   
1.00E+01  0.431  0.000   1.1109E-04  5.9823E-04   5.0364E-04  1.0535E-03   7.7848E-10  1.1861E-09   2.4447E-13  2.3970E-13   
1.00E+01  0.862  0.000   2.9893E-03  2.0986E-02   1.1182E-03  2.7977E-03   5.5870E-06  1.8647E-05   1.1745E-09  1.3358E-09   
1.00E+01  2.585  0.000   7.5225E-01  1.1267E+01   4.2321E-03  1.4385E-02   5.5591E-02  6.1535E-01   6.6187E-08  8.0436E-08   
1.00E+02  0.001  0.511   1.6786E-08  6.8032E-08   1.1820E-04  2.0896E-04   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   
1.00E+02  0.009  0.473   3.1831E-09  1.2914E-08   1.1820E-04  2.0896E-04   7.3576E-317 1.8916E-318  0.0000E+00  0.0000E+00   
1.00E+02  0.017  0.416   2.3020E-09  9.3518E-09   1.1820E-04  2.0896E-04   9.0746E-161 4.7301E-162  8.7367E-183 4.6989E-183  
1.00E+02  0.034  0.284   1.7961E-09  7.3178E-09   1.1820E-04  2.0896E-04   4.8667E-82  5.1137E-83   9.9745E-95  5.3647E-95   
1.00E+02  0.060  0.065   1.7349E-09  7.1026E-09   1.1821E-04  2.0899E-04   8.4508E-48  1.5720E-48   5.4680E-57  2.9410E-57   
1.00E+02  0.086  0.005   1.3679E-08  5.6317E-08   1.1869E-04  2.1005E-04   1.0162E-34  2.7307E-35   6.8102E-42  3.6635E-42   
